Model,MAE,RMSE,R² Score
Linear Regression,0.4824403874054263,0.6266036883608298,0.6890014865941149
Decision Tree,0.0019968611612411107,0.03882369251482052,0.9988061051011364
Random Forest,0.003016865208223604,0.020357537259868348,0.9996717362730947
Optimized Random Forest,0.017770912561595787,0.03575002153657188,0.9989876631759009
Random Forest (Without Iron),0.013030476122038183,0.06302173741127017,0.996854040242823
