Model,MAE,RMSE,R2 Score
Linear Regression,0.4824403874054263,0.6266036883608298,0.6890014865941149
Decision Tree,0.0019968611612411107,0.03882369251482052,0.9988061051011364
Random Forest,0.003016865208223604,0.020357537259868348,0.9996717362730947
